"no","artist_name","track_name","release_date","genre","lyrics","len","dating","violence","world/life","night/time","shake the audience","family/gospel","romantic","communication","obscene","music","movement/places","light/visual perceptions","family/spiritual","like/girls","sadness","feelings","danceability","loudness","acousticness","instrumentalness","valence","energy","topic","age"
"80963","boogie down productions","ghetto music","1989","hip hop","like sound hear ghetto music ghetto music ghetto music ghetto music tune easy listen sound gown crown glitter makeup smashin lyric hit advice free industry gotta grow commercial know important underground superstar like gotta question speak facts start guessin learn lesson plan career commercial underground cause side write hit admit come explain people play game wanna like wrong writin reality song touch issue talk knowledge want base cause bring racist bring pink yeah stop guess alright demonic guess alright demonic chapter book come different look look commercial underground ghetto sound music refuse rockin ghetto music people tellin need radio yeah gotta like soandso platinum attack rhyme ghetto teach ghetto change heck ghetto stay mellow effect ready fresh nineteen eightynine suckers peace jungle brothers come master start heart fall apart like dart shoot target ghetto music yeah chart cause eightynine purpose rhyme strengthen uplift mind achieve achieve achieve simple leave cause time respect lose ghetto music ghetto music ghetto music ghetto music ghetto music","163","0.000565930986962208","0.0005659309831198245","0.05511874738746862","0.0005659310183532745","0.0473860337022772","0.0005659309607417119","0.0005659310048095177","0.13342563043347913","0.12597608584502212","0.3094352995424177","0.000565930970990846","0.0005659309705853573","0.05888059894552791","0.08298035138408404","0.06341052624118655","0.0005659309602314584","0.9263511318098128","0.5934671691921134","0.0012138566404183138","1.437246963562753e-05","0.5300906842539158","0.6035912232694354","music","0.44285714285714284"
"80964","boogie down productions","jack of spades","1989","hip hop","start heart take time heart come everybody fear crashin door whore bringin gold chain krsone see human make excuse losers chainsnatchers pimp drug abusers like gotta pushin somebody start mushin suckers claimin rule environment buyin think everybody teach buy take short cause hasn pay spade dnice scratch calm kind courageous loyal temper boil cause like whistle blow right go crime commit right tail bail thinkin bout jail end justify mean scene track movement lose cause come attack crack cocaine cop fiends heat gold chain game destroy stereotype hype crack pip like criminals crime mind come kungfu hammer slammer renegade teacher scholar gotta fall line hear rhyme cause time theme song call spade dnice scratch know spade posse wanna watch throw hand scream yeah yeahhh time yeahhh flash rhyme cool loud quiet head cause spade riot cleanin community debris crime road long scary average couldn average take piece brother gotta admit martyr soldier hero start zero battle clearly understand power payin people hour sell stand gettin everybody high high cable cash table currency able cop prop pay come spade dnice scratch break dnice scratch fresh spade suckers","186","0.0005263158273739668","0.14041871072528295","0.0005263158200677927","0.061762813236656014","0.023666499077868344","0.0005263158064450962","0.0005263158088155538","0.0005263158335176667","0.5313898942528503","0.02400068841054603","0.11326996314831972","0.0005263158167872483","0.00052631584499999","0.000526315824739306","0.06903377320772634","0.0150276181539034","0.9718401386331639","0.5829295182421865","0.010340371827682559","2.044534412955466e-06","0.44455894476504537","0.5004849000289098","obscene","0.44285714285714284"
"80967","boogie down productions","the style you haven't done yet","1989","hip hop","number soundlive ghetto music produce krsone widdybyebye byebye byebye widdybyebye byebye byebye come claim attain level rhymin listen lyin tryin years stop change rearrange producer touch microphone loser laugh smirk belong perform song specific style gift poetically uplift speak attack maybe rhyme statue tell people literally come rockin funky lyric better endlessly recitin poetry time street hear voice know krnope ready teach style attain widdybyebye widdybyebye widdy byebye byebye byebye widdybyebye widdy byebye widdybyebye widdy byebye byebye byebye widdybyebye plumb know krsone come sing style sing rock party gotta suckers want krsone instead japslap teacher wack like stack hit albums triplelayer cake throw face waste pick taste poet black race whip whine touch time rhyme black effect jeeeeeeesus gosh dude gosh dude crew juice crew","125","0.0010121458345750604","0.14488936705478292","0.0010121458661611757","0.05494700049488296","0.001012145753567726","0.0010121457692446178","0.001012145888662363","0.0794902157784896","0.47786209855682216","0.19124458225557237","0.0010121458144180114","0.0010121457820889007","0.001012145861199175","0.001012145793502359","0.0010121457797773877","0.0010121457540275486","0.9469294920394238","0.6108760864548881","0.04748900350301557","0.0","0.9670239076669415","0.5895767715668396","obscene","0.44285714285714284"
"80969","boogie down productions","gimme dat (woy)","1989","hip hop","right right bring smooth alright hello whassup happenin know teacher rappin need slappin cause sayin wack weak speak sucker comin face yangyang chain gang draggin feet beat produce library teach hiphop live smidgen givin krsone encore freshman sophomore graduate school short world rappin bring single style create offbeat seat create style study single week come face like rulin teacher foolin defense common sense confidence intelligence excellence intense difference krsone mean ignorance obediance magnificence reference stop violence criminal mind poetry hat title gimme little test bust attention feel like lettin lyric steppin jettin gettin respect teacher meet number drop science teach correct catch style like treat like bite kind hungry calcan step cause time hold hand slam understand teacher professor scholar makin dollars trainer entertainer makin holla numero number best perfectionist crazy fresh gimme original original original original","137","0.0008097166398641338","0.0008097166726737167","0.09281017240781934","0.0008097166976518871","0.0008097166532288618","0.01759972077723715","0.0008097166926483807","0.0008097166576716085","0.5726053732627467","0.0008097166228852213","0.0008097166533825501","0.000809716629352435","0.09345403837224805","0.17665910115471742","0.0008097166251604163","0.0008097166511853342","0.676161594281382","0.5287029202881829","0.0008634546821834158","0.0","0.7743198680956307","0.40638786716862424","obscene","0.44285714285714284"
"80970","boogie down productions","the blueprint","1989","hip hop","blueprint musty fusty clear noncommercial bring positive people plus equal slammin lyric beat unquestionable professional guess grab album rock market strong hearted target bloo target shoot lyric reload clip bloo hit grind opponents weak crown bloo bloo title come disaster listen laughter heart capture cause lecture texture wack cause time weakness teacher speak dialect gain nuff resect money care cause boogie productions worldwide coast coast soft commercial sound ghetto cause refuse understand know copy read blueprint keepin track wack step speak wack cause pack posse stupid watch stop original copy sloppy sloppy slouch time bite yell ouch breakout lose throat hoarse lose cause dope course come years practice antislackness antiwackness throw glass teach mass simple question stomp somebody say comp thousands overseas soft leave door coat mitt cause read blueprint","130","0.0009233611043914148","0.23906148556310686","0.0521875535434389","0.0009233611100300324","0.0009233610424097145","0.0009233610487492285","0.0009233610959400703","0.2034946761824079","0.31652856907125115","0.0009233610965000312","0.0009233610968211965","0.000923361068068667","0.0009233611280403841","0.0009233610449940628","0.03569134828501984","0.023718871669747617","0.9512617784035524","0.5230623285388303","0.019577328892900495","4.564777327935223e-06","0.5362737015663643","0.6546438687574626","obscene","0.44285714285714284"
"80972","boogie down productions","breath control","1989","hip hop","tell bout crew know call boogie productions steal larock krsone dnice know know know know krsone check breath control example appeal criminal mind blind open eye stop dissin prescription listen class real fast fresh gettin leave keep accept material rhyme artificially flavor like cereal like clarity come speak clear concise little slack wack slap fuck boogie productions simply cause leave radical sound mess roll fess wild guess think best turn burn rhyme immediately come boomin dope provoke walkin rope rope word lookin string sing sing bring enlightenment suckers bitin radio fightin fan likin face wipin cause mouth dirty unworthy think serve hear style universal need rehearsal beef rhyth rhymin timin climbin realize producer dope record think time break second breath control break track resume attack crew wack lack mean like play style rockin radical rebel level go know mean doom boom consume room fraction capital krsone bdbdbdbdp takin constantly deal wheel steal come kneel queen playboy wack feel understand jam krsone slam hypothetically reality takin small technicality rhyme like rhyme like come handy diss soft silly budget sucker like style need house shelf label sucker style like","187","0.0005316321462244582","0.13244431973611134","0.0005316321291272525","0.0005316321365351301","0.0005316321419125695","0.0005316322653198746","0.0005316321211816859","0.21523938795664468","0.4087271155619287","0.0998498780788236","0.09643523631479822","0.0005316321468786519","0.0005316321186799946","0.04039284436282094","0.0005316321532926026","0.0005316321699226504","0.8093793999783387","0.5657000743532548","0.006856432586779706","2.8441295546558707e-05","0.727947238252267","0.697688256129721","obscene","0.44285714285714284"
"80974","einstein","the tables are turnin'","1990","hip hop","share hard time niggas serve hard time involve niggas lose live hollywood pass nearly lose mind roll traffickers work maximas stretch nervous ask bitch purpose gotta search ask question decide hoe fuck shop thug thug shit turn niggas deep thug shit money fuck little nigga touch little move home fuck little feel know guess write recognize quoteable lap loneliest time survive loneliest nights think struggle time survive nickel dime bread world shoot bitch best friends talk show everybody walk party club function leave bring discussions fuck best friends talk abortions little girls hair braid porches promise share losses baby daddy pass share losses get cnotes hoppers death irish hoe deep throat yeah beef know anybody know flow miami bitch know nice entourage lock mint wonder bras club miss lap know funny table turn move forward thank lessons learn strip club step stone stage pay wasn second home somebody shit streets roll wrap late nights shit beach bring blue baby jeans shit tall body guy underneath bottle feet scream tryna club show time face think disappoint fell fell accept wouldn tell try cell lap","183","0.017988552379668434","0.04582845270738095","0.16080644997244664","0.0003957261916541873","0.009408576523403489","0.05432327558592441","0.0003957261844063358","0.1599981176685021","0.3520361289804685","0.0003957262080366925","0.12793746636705722","0.00039572617914261605","0.00039572615875715364","0.00039572617859059473","0.00039572617850678005","0.017623276572100128","0.8862774829416226","0.4683485885701099","0.08694687444465306","0.00032591093117408906","0.9649629018961252","0.6626521268732316","obscene","0.42857142857142855"
"80975","the original squad","all the blacks","1990","hip hop","close light glow go eye good life reason go live die start walk hearts lose like wither leave fall late realize lose start walk hearts lose","26","0.0020242915011336733","0.0020242915657520395","0.14183996481381594","0.002024291652389338","0.0020242915016386973","0.002024291504379461","0.002024291526964342","0.0020242915599129395","0.00202429155368138","0.0020242915127893185","0.0020242915591973483","0.11951369169053501","0.0020242915084629307","0.00202429168479587","0.5987453178100773","0.1095366523204593","0.7768872522473736","0.5709304412481091","0.015460858896444676","1.2753036437246964e-05","0.3435696619950536","0.5225076098472745","sadness","0.42857142857142855"
"80978","asher d","bite of love","1990","hip hop","leave live watch dream turn ash hop bits go fool care live maintemant vaisje faire tout temps sera tous gens indiffèrent maintenant parti go fool care live goodbye","28","0.003289473699976431","0.003289473756925368","0.38564520281938924","0.0032894737387677607","0.00328947368539924","0.0032894737167421836","0.0804220317006482","0.003289473987921156","0.0032894738103936053","0.003289473726443264","0.0032894738160038034","0.003289473976331439","0.0032894737256157465","0.00328947372142447","0.37873644978566234","0.10585420915894315","0.7747211090653093","0.5118580622003435","0.00022289179005199804","0.0","0.3816982687551525","0.45443741586323805","world/life","0.42857142857142855"
"80979","asher d","we are the champions","1990","hip hop","shit shit shit shit shit shit shit shit shit","9","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.905263157894736","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.0052631578947369","0.8548684068016896","0.6508986488218854","0.04678619155240116","5.5364372469635625e-06","0.740313272877164","0.6966872238652497","obscene","0.42857142857142855"
