"no","artist_name","track_name","release_date","genre","lyrics","len","dating","violence","world/life","night/time","shake the audience","family/gospel","romantic","communication","obscene","music","movement/places","light/visual perceptions","family/spiritual","like/girls","sadness","feelings","danceability","loudness","acousticness","instrumentalness","valence","energy","topic","age"
"54304","gene ammons","it's the talk of the town","1950","jazz","lovers sweethearts hard understand know happen know start strangers plan face anyplace people stop stare hard everybody know leave talk time meet heart skip beat stop speak week everybody know leave talk send invitations friends relations announce weddin friends relations give congratulations face sweetheart stay apart foolish pride like end talk face sweetheart stay apart foolish pride like end talk talk","61","0.0010964912346366198","0.0010964912728999069","0.0010964912842801272","0.001096491293156569","0.036315990132541616","0.001096491264537461","0.0010964913000464233","0.46077316918945666","0.08649829284888715","0.0010964912455395976","0.0010964913180834298","0.0010964912789169898","0.04170651046804032","0.0010964913306471735","0.31957049342399946","0.0010964912305021811","0.35232318856276407","0.6203881752685689","0.8684737635278751","0.23582995951417005","0.43013190436933224","0.28225986637420497","sadness","1.0"
"54305","gene ammons","you go to my head","1950","jazz","head linger like haunt refrain spin round brain like bubble glass champagne head like sparkle burgundy brew mention like kicker julep thrill think think plea cast spell hold head smile make temperature rise like summer thousand july intoxicate soul eye certain heart hasn ghost crazy romance head head","48","0.0017543860280347416","0.34096394589091483","0.0017543860079420124","0.0017543859899263308","0.0017543859649124867","0.001754385966583665","0.13187177154270877","0.0017543862223939116","0.001754386052907775","0.0017543860764140556","0.0017543862340646742","0.1724019852791655","0.001754385977887923","0.3284465066165354","0.0017543861194810613","0.0017543859673663583","0.37939997833856826","0.638540625080122","0.9076304293478208","0.9008097165991903","0.22197032151690024","0.18415870445603505","violence","1.0"
"54307","bud powell","yesterdays","1950","jazz","music speak start hear musicians like dizzy gillespie recommend somebody music study hungrier hungrier sound electronic instrument keyboard instrument electronic pianos particularly like fender roads electric piano electric clavinet like electric clavicord string little rubber hammer string press like think sort guitar like clavinet sound wahwah thing go kinds things signal source alter sound wahwah peddle wahwah sound clavinet keyboard instrument truly keyboard instrument small synthesizer universe sound representative trillion sound grind zero preconceive ideas go play rhythmically melodically harmonically know go emerge moment moment real leader kind music focus shift music come right center room vehicles direction begin somepoint emerge explosion kind walk jazz time like","107","0.0011441648026222072","0.0011441648726392122","0.07476203708285713","0.0461725304434507","0.0011441647674612788","0.018788672253603252","0.0011441648082205157","0.001654751671018988","0.0011441648118200626","0.42173368679823425","0.0962664522570996","0.0011441648399527257","0.0011441647758246186","0.23095444314994779","0.001144164827074593","0.09708161352844476","0.48987328062384927","0.46739994359408243","0.9929718804938561","0.9271255060728745","0.33429513602638083","0.22820412409276444","music","1.0"
"54311","tony bennett","stranger in paradise","1950","jazz","hand stranger paradise lose wonderland stranger paradise stand starry eye danger paradise mortals stand like face ascend common place rarest space hang suspend know care answer fervent prayer stranger paradise send dark despair hunger open arm stranger paradise tell need stranger","41","0.002105263179441434","0.1805238638895648","0.0021052632303183998","0.0021052631771921173","0.002105263443889863","0.00210526317645619","0.0021052634137229227","0.20196510140041937","0.0021052632334404007","0.0021052631919531986","0.002105263270395454","0.002105263318630012","0.05850269132494769","0.0021052633750941506","0.5274293946290626","0.0021052631630211122","0.17903173399761724","0.5594697843755608","0.9839357268430994","0.0017813765182186235","0.08697444352844189","0.2352113499440623","sadness","1.0"
"54313","dean martin","zing-a zing-a zing boom","1950","jazz","zinga zinga zinga zinga zinga zinga zinga zingboom zinga zinga zinga zinga zing boom funny keep sing zinga zinga zinga zinga zing boom memory keep ring zinga zinga zinga zinga zing boom work charm hearts cling start dance ticket romance music play dancers sway cabellero feel cupid arrow dance true heart zinga zinga boom zinga zinga zinga zinga zing boom escape music get zinga zinga zinga zinga zing boom forget let zinga zinga zinga zinga zing boom worry upset thing away blue zinga zinga zinga zinga zing boom music play dancers sway zinga zinga boom cabellero feel cupid arrow zinga zinga boom dance true zinga zinga boom heart zinga zinga boom zinga zinga boom zinga zinga zinga zinga zing boom zinga zinga zinga zinga zing boom escape music get zinga zinga zinga zinga zing boom forget let zinga zinga zinga zinga zing boom worry upset thing away blue zinga zinga boom zinga zinga boom zinga zingaboom zinga zinga boom boom","160","0.0012531328498642492","0.0012531328529349322","0.001253132888218185","0.0012531328561911326","0.0012531328359024227","0.08112596645694625","0.0012531329576467199","0.11195089065433463","0.001253132882735866","0.26873717880932896","0.0012531328703788373","0.09492114345578258","0.0012531328332661975","0.0012531328673749383","0.4257209603454306","0.0012531329781851064","0.5808512942705513","0.6874086608722405","0.65562214419894","0.0","0.9361088211046991","0.4184002543422777","sadness","1.0"
"54315","dean martin","be honest with me","1950","jazz","honest dear remember dear true wander land honest poor heart break dear untrue asleep awake dear dream darling honest return dear kinda yearn dear forget dear sweet memory honest","29","0.0023923444997997396","0.002392344527551068","0.002392344753753491","0.0023923445209474755","0.0023923445032275545","0.002392344714552205","0.5778028825239045","0.0023923445541814336","0.0023923446054361325","0.0023923445665254227","0.0023923445697534114","0.0023923446278971932","0.11775877928967424","0.04788306416063195","0.22067010553566788","0.0023923444976081142","0.5559406476768114","0.6350793528702919","0.8875500879016948","0.0","0.9247732893652101","0.32230115695304995","romantic","1.0"
"54319","dean martin","three wishes","1950","jazz","wish simple wish wish wish days gladness sweet true second wish dream house cozy fireside wish wish wish days gladness sweet true second wish dream house cozy fireside wish","29","0.002192982463038283","0.0021929825187786906","0.27458161486687116","0.0021929826179062422","0.0021929824561405862","0.00219298245839615","0.15370354651083318","0.002192982534374039","0.002192982524442853","0.0021929825072466757","0.10493660152965736","0.0021929824807946086","0.0021929824561405862","0.002192982501633707","0.43388349965931394","0.0021929824572856807","0.28192353514567314","0.4922698253980462","0.9899598292769372","0.00027834008097165995","0.1343775762572135","0.05692750364175537","sadness","1.0"
"54321","dean martin","just for fun","1950","jazz","softly sigh close maybe agree hand magic land seek constantly tingle tingle mingle pretend begin play stay try tingle tingle mingle pretend begin play stay try","26","0.0030959752457337883","0.0030959753720250414","0.003095975322381334","0.0030959753431990694","0.0030959752322433885","0.0030959752538304527","0.003095975689299186","0.07460919375299453","0.0030959754125361215","0.0030959756953582783","0.00309597533668203","0.20893686097400307","0.0705280410076192","0.0030959752429455143","0.5994862741768815","0.0030959752334339926","0.30791725333044523","0.46827167140989145","0.9648594024692797","0.0004574898785425101","0.2662819455894476","0.10908128462070085","sadness","1.0"
"54324","dean martin","absence makes the heart grow fonder (for somebody else)","1950","jazz","leave know grieve remember absence make heart grow fonder somebody dearly sincerely remember absence make heart grow fonder somebody away mice play blue away fretful forgetful remember absence make heart grow fonder somebody away mice play blue away fretful forgetful remember absence make heart grow fonder somebody somebody","48","0.0016447368536334883","0.0016447368597378642","0.2944249651157028","0.001644736848419799","0.0016447368460492135","0.0016447368585551585","0.0016447368739762696","0.0016447369307826787","0.001644736868306351","0.14825321585880466","0.0016447368710173957","0.0016447368672623463","0.0016447368579187713","0.0016447369749186377","0.35056887901918155","0.18208188696159944","0.1779486624065851","0.5378560623541778","0.9367469244447033","0.2550607287449393","0.1683841714756801","0.12209470405882544","sadness","1.0"
"54329","dean martin","vieni su (say you love me, too)","1950","jazz","vieni vieni vieni come years long wait vieni vieni long wait vieni vieni","13","0.11467939418932864","0.007518797137019766","0.17018645384638165","0.5948333989245908","0.007518796992481443","0.007518797164832126","0.007518797009600275","0.007518797018024211","0.007518797031048514","0.007518797224818073","0.007518797227613084","0.007518797095491751","0.007518797060418165","0.007518796992481443","0.0075187971081786395","0.007518796994551433","0.22452074082096823","0.40022562366997405","0.9769076073369553","0.6103238866396761","0.18075020610057704","0.04071078095732318","night/time","1.0"
