"no","artist_name","track_name","release_date","genre","lyrics","len","dating","violence","world/life","night/time","shake the audience","family/gospel","romantic","communication","obscene","music","movement/places","light/visual perceptions","family/spiritual","like/girls","sadness","feelings","danceability","loudness","acousticness","instrumentalness","valence","energy","topic","age"
"70345","ronnie self","big fool","1955","rock","fool fool tell love walk fool fool drivin crazy doin give lovin know wasn true doin walkin talkin like fool fool fool fool fool fool fool tell love walk fool fool drivin crazy doin give lovin know wasn true doin walkin talkin like fool fool fool fool fool fool fool yeah fool fool fool","54","0.05925620960035338","0.0009930486634968068","0.0009930486819557703","0.0009930486597435843","0.019992089608870483","0.0009930486614109742","0.05525009405448328","0.21658810588247016","0.23804140565013882","0.0009930486605794037","0.0009930486790710098","0.0009930486638921494","0.0009930486600936838","0.0009930487082802507","0.39796246245434785","0.0009930486606502895","0.6664139499620926","0.7568648565494961","0.7640559880080201","7.297570850202429e-06","0.9567188788128607","0.7207119982125567","sadness","0.9285714285714286"
"70347","ronnie self","bop-a-lena","1955","rock","gogalgo bopalena bopalena bopalena bopalena yeah gogalgo school bell ringin everybody go goin shag gonna shake bopalena lookin like wild freek juvenile get agoin real cool chick like pogostick bopalena bopalena bopalena bopalena yeah gogalgo patternleather shoe hounddog feet bopalena gonna walk beat jukebox bebop shag agoin gonna ball bopalena feet talk look camelwalk bopalena bopalena bopalena bopalena yeah gogalgo","60","0.0019493177449870234","0.0019493177845401834","0.0019493177507370948","0.0019493177416529653","0.1431127176562298","0.0019493178013744521","0.0019493177387915528","0.001949317791799039","0.377702923151329","0.0019493177514829563","0.33688416259235004","0.0019493177753172177","0.001949318186915665","0.0019493182394808638","0.001949317787724673","0.0019493179539579017","0.5873497238167443","0.8529343896623336","0.6044172735113188","0.006346153846153847","0.9680544105523494","0.9419401286606748","obscene","0.9285714285714286"
"70351","frankie laine","i heard the angels singing","1956","rock","hear angels sing come sing come sing come hear angels sing come sing come lordy lordy come great come bethlehem hear angels sing come sing come sing come hear angels sing come sing come lordy lordy come great come bethlehem great heaven shine earth shepherd come arunnin savior birth little baby wrap swaddle clothe lay great doze bear bear bear bethlehem hear angels sing come sing come sing come hear angels sing come sing come lordy lordy come great come bethlehem hear angels sing come sing come sing come hear angels sing come sing come lordy lordy come great come bethlehem wise come heavenly choir sing come little baby wrap swaddle clothe lay great doze bear bear bear bethlehem hear angels sing come","123","0.3017321949411487","0.0005316321328672671","0.0005316321130702765","0.0005316321124765198","0.0005316321105889608","0.039964407811749716","0.0005316321319881684","0.0005316321147524949","0.0005316321227704508","0.3919172881270999","0.0005316321575104726","0.06527050564530014","0.1936727537903411","0.0005316321275609019","0.0005316321156582337","0.0005316321116874881","0.6501678760966101","0.6480783529472092","0.7580318855741824","0.0","0.9309563066776587","0.5084931581446788","music","0.9142857142857143"
"70352","frankie laine","i feel like my time ain't long","1956","rock","bridge look idols think niggas gods right hand bible life ammunition bullets rifle daydreamin bout ring takin title feelin cause heart sayin confidence inflate workin hard praise degrade lose maze rhyme lookin outdated advice feelin like gotta stick basics know best square plan spot chain fresh drop present recognizin presence mixtapes message listenin strangers support craft time gas dough cause payin bill real come home seed need time need meals like daddy spit real stag deal pride cause business divine curse groupies define thirst like jevon kearse raid hate pantyline worshippin picturin contract write cursive radio bumpin shit people person scream endorsements face screen chasin dream chasin dream come time imma spend guarantee nigga nothin infinite rappers gods limit runnin pass imma catch finish bullshit past stay focus present move definites yall strike guessin feel like villain essence cause yall struggle yall pain song topics gain shit lie expect fail nigga jail cock lock microphone spit like hell javelin discus throwin shit business want better whip free time wish list dismiss message kickin quit announce movin quick bounce newest song step handle pride holdin vision motivation inside grind long livin takin time mind tellin watch say time game bridge","199","0.0005159958936407323","0.07314889905005849","0.04956404625982347","0.08001624591943374","0.000515995910570288","0.01560135336048439","0.000515995887349349","0.0005159959128707151","0.6029866856320736","0.060943744029116315","0.0005159959007208911","0.0005159959007019474","0.02364674389365848","0.000515995901475607","0.08841632677734167","0.0005159959137734778","0.5960142965450017","0.6324128913160525","0.7590359026464886","0.0","0.7392827699917559","0.46044360945006485","obscene","0.9142857142857143"
"70354","bill haley & his comets","jamaica d.j.","1956","rock","montego work work bother like kind work call spin record play request roll like best tourist leave ship expect sound cat play roll long montego jockey play song like play quick rock kick montego work work bother like kind work call spin record play request roll like best tourist leave ship expect sound cat play roll long call spin record play request roll like best","65","0.0010319917546192452","0.0010319917667464971","0.0010319917760722333","0.001031991801428743","0.001031991744066193","0.1187156164868278","0.0010319917520892254","0.0010319918100081245","0.1959521548159138","0.34265564862649334","0.0010319918240839108","0.0010319918355916494","0.0010319918030667387","0.14754507113169854","0.0010319917944807862","0.0010319917455779964","0.7454781761074407","0.6902802348537291","0.712851117320399","3.937246963562753e-06","0.8639736191261335","0.8338286440977936","music","0.9142857142857143"
"70357","pat boone","forgive me","1956","rock","hang picture fool fame fool fame fool fame belong cause wrong let let world fool fame fool fame fool fame stop turn away love love love break truest heart beneath biggest fool till forgive spend lifetime shame fool fame","39","0.001754385975187117","0.001754386041922441","0.10010922245182627","0.0017543861512680048","0.0017543859706143636","0.0017543859741272988","0.13646253704649777","0.0017543861472217475","0.0017543860259613701","0.0017543859993778559","0.0017543860594130339","0.044757311410640654","0.0017543859798941585","0.0017543860029941053","0.6571316369958802","0.001754386025976026","0.2624282465070941","0.47424557085352403","0.901606326913983","3.846153846153846e-06","0.29719703215169","0.10507715556281637","sadness","0.9142857142857143"
"70359","the platters","take me in your arms","1956","rock","arm away arm thrill caress yesterday hungry heart hour gladness know past moment madness hold fast blind charm stardust goodbye hour gladness know past moment madness hold fast blind charm stardust goodbye","32","0.002192982490612286","0.002192982730729303","0.32679980885029125","0.002192982524515155","0.0021929825100792315","0.0021929824721494125","0.4718989745612165","0.0021929827165075634","0.0021929825253145367","0.0021929824860058406","0.0021929825577272515","0.0021929825968903015","0.043859649083664416","0.002192982479479465","0.12454682924284904","0.002192982463766873","0.29275425105599484","0.6873830218188344","0.8975902586247577","9.44331983805668e-05","0.5259686727122835","0.3303094150688189","romantic","0.9142857142857143"
"70361","elvis presley","i'm gonna sit right down and cry (over you)","1956","rock","go right go right goodbye go right go go goodbye go right go tell mama tell papa know exactly gonna goodbye go right go go goodbye go right go tell mama papa know exactly gonna goodbye go right go right go right go right","44","0.0012836970690339442","0.0012836970529093291","0.0012836970526880235","0.23783043023354","0.0012836970630585244","0.053742200201820495","0.1331126418929746","0.10730119680269021","0.0012836970659936857","0.0012836970557660392","0.001283697063757227","0.0012836970491769024","0.0012836970498034182","0.0012836970588761508","0.0012836970538828995","0.3952262876740482","0.6577493772338353","0.6762813116939722","0.7791162440926146","3.714574898785426e-05","0.8052349546578731","0.648637675170636","feelings","0.9142857142857143"
"70364","elvis presley","first in line","1956","rock","give eye like diamonds shame star shine darling darling line give lips like hold thrill time darling darling line know longer pledge hearts stronger stronger refuse choose darling darling line","30","0.0020242915177607333","0.0020242915576588545","0.1881598706754493","0.1576569168839972","0.0020242915043162417","0.002024291701773723","0.42845841021500536","0.002024291620444777","0.002024291554758417","0.0020242915091452777","0.0020242915459100525","0.11621666288235538","0.0020242915140546444","0.08116805766520174","0.0020242916368005937","0.0020242915047950644","0.2949203942380591","0.5965951337076634","0.9487951293123789","0.003299595141700405","0.15601813685078317","0.13610915576142119","romantic","0.9142857142857143"
"70368","elvis presley","how's the world treating you","1956","rock","sorrow say tomorrow world treat sweet thing matter break dream shatter world treat plan sunday plan today blue monday away sweet thing matter break ask darling world treat","28","0.0019493178452836466","0.001949317757226019","0.35946124602143026","0.0019493177549316097","0.0019493177439873638","0.001949317876747418","0.1543940861145346","0.24688197325688466","0.0019493177774013283","0.03952977578095927","0.05570839955264573","0.0019493177573170128","0.0019493177564699187","0.00194931787542741","0.11868338809485723","0.0019493177618306902","0.4216397703888228","0.48173217444811933","0.9598393171077482","0.0011133603238866398","0.2487633965375103","0.05662719396241403","world/life","0.9142857142857143"
